名称,类型,描述
NOCFToOperatingNI,Double,经营活动产生的现金流量净额/经营活动净收益
NOCFToOperatingNITTM,double,经营活动产生的现金流量净额/经营活动净收益
nonCurrentAssetsRatio,double,非流动资产/总资产
NonCurrentAssetsRatio,Double,非流动资产/总资产
NPParentCompanyGrowRate,Double,归属母公司股东的净利润增长率
NPParentCompanyGrowthRate,double,归属母公司股东的净利润增长率
NPParentCompanyYOY,double,归属母公司股东的净利润同比增长
NPToTOR,double,净利润／营业总收入
NPToTOR,Double,净利润／营业总收入
operaProfitRatio,double,主营业务利润率
operatingExpenseRate,double,营业费用／营业总收入
OperatingExpenseRate,Double,营业费用／营业总收入
OperatingProfitGrowRate,Double,营业利润增长率
operatingProfitGrowthRate,double,营业利润增长率
operatingProfitRatio,double,营业利润率
OperatingProfitRatio,Double,营业利润率
operatingProfitToTOR,double,营业利润／营业总收入
OperatingProfitToTOR,Double,营业利润／营业总收入
OperatingRevenueGrowRate,Double,营业收入同比增长
operatingRevenueGrowthRate,double,营业收入同比增长
OperCashGrowRate,Double,经营活动产生的现金流量净额增长率
operCashGrowthRate,double,经营活动产生的现金流量净额增长率
operCashInToCurrentDebt,double,现金流动负债比
OperCashInToCurrentLiability,Double,现金流动负债比
operProfitGrowthRrate,double,营业利润同比增长
PB,double,市净率
PB,Double,市净率
PCF,double,市现率
PCF,Double,市现率
PE,double,市盈率
PE,Double,市盈率
PS,double,市销率
PS,Double,市销率
PSY,double,心理线指标
PSY,Double,心理线指标
quickRatio,double,速动比率
QuickRatio,Double,速动比率
REC,double,分析师推荐评级
REC,Double,分析师推荐评级
REVS10,double,10日股价收益
REVS10,Double,10日股价收益
REVS20,double,20日股价收益
REVS20,Double,20日股价收益
REVS5,double,5日股价收益
REVS5,Double,5日股价收益
ROA,double,资产回报率
ROA,Double,资产回报率
ROA5,double,5年资产收益率
ROA5,Double,5年资产收益率
ROE,double,权益回报率
ROE,Double,权益回报率
ROE5,double,5年权益回报率
ROE5,Double,5年权益回报率
RSI,double,相对强弱指标
RSI,Double,相对强弱指标
RSTR12,double,12月相对强势
RSTR12,Double,12月相对强势
RSTR24,double,24月相对强势
RSTR24,Double,24月相对强势
salesCostRatio,double,销售成本率
SalesCostRatio,Double,销售成本率
SaleServiceCashToOR,Double,销售商品提供劳务收到的现金/营业收入
saleServiceCashToORTTM,double,销售商品提供劳务收到的现金/营业收入
secID,String,证券ID
SFY12P,Double,分析师营收预测
Skewness,Double,股价偏度，过去20个交易日股价的偏度。
SUE,double,未预期盈余
SUE,Double,未预期盈余
SUOI,Double,未预期毛利
TA2EV,Double,资产总计与企业价值之比
taxRatio,double,销售税金率
TaxRatio,Double,销售税金率
ticker,String,股票代码
TOBT,double,超额流动
TOBT,Double,超额流动
TotalAssetGrowRate,Double,总资产同比增长
totalAssetGrowthRate,double,总资产同比增长
TotalAssetsTRate,Double,总资产周转率
totalAssetTRate,double,总资产周转率
TotalAssetTRate,double,总资产周转率
totalProfitCostRatio,double,成本费用利润率
TotalProfitCostRatio,Double,成本费用利润率
TotalProfitGrowRate,Double,利润总额同比增长
totalProfitGrowthRate,double,利润总额同比增长
tradeDate,String,交易日期
VOL10,double,10日换手率
